GLOBALEVENTID,SQLDATE,Actor1Name,AvgTone
749338471,20180420,NEWS CORP,-14.03508772
749424195,20180420,GOOGLE,-13.46153846
749424194,20180420,GOOGLE,-13.46153846
749230922,20180420,GOOGLE,-12.11072664
749450943,20180420,BANK OF AMERICA,-10.89108911
749392707,20180420,AFLAC,-10.71428571
749392705,20180420,AFLAC,-10.71428571
749297370,20180420,GOOGLE,-9.659090909
749463605,20180420,STARBUCKS,-9.483960948
749250482,20180420,BANK OF AMERICA,-9.072580645
749491194,20180420,WALGREEN,-9.009009009
749297366,20180420,DELTA AIR LINES,-8.571428571
749220222,20180420,BOEING,-8.227848101
749318194,20180420,GOOGLE,-8.084824387
749256062,20180420,WELLS FARGO,-8.076009501
749280513,20180420,GOOGLE,-7.949790795
749412623,20180420,WELLS FARGO,-7.213930348
749400608,20180420,WELLS FARGO,-7.142857143
749461801,20180420,WELLS FARGO,-7.086614173
749250464,20180420,BUFFALO WILD WINGS,-7.086614173
749461802,20180420,WELLS FARGO,-7.086614173
749457972,20180420,MOTOROLA,-7.06057737
749457974,20180420,MOTOROLA,-7.06057737
749457973,20180420,MOTOROLA,-7.06057737
749457971,20180420,MOTOROLA,-7.06057737
749297365,20180420,BOEING,-6.976744186
749488115,20180420,ACTIVISION BLIZZARD,-6.906906907
749222793,20180420,GOOGLE,-6.862745098
749222797,20180420,GOOGLE,-6.862745098
749305381,20180420,GENERAL ELECTRIC,-6.741573034
749282638,20180420,GOOGLE,-6.711409396
749282639,20180420,GOOGLE,-6.711409396
749380340,20180420,STARBUCKS,-6.666666667
749380339,20180420,STARBUCKS,-6.666666667
749380335,20180420,STARBUCKS,-6.666666667
749373525,20180420,STARBUCKS,-6.628787879
749373538,20180420,STARBUCKS,-6.628787879
749373536,20180420,STARBUCKS,-6.628787879
749373530,20180420,STARBUCKS,-6.628787879
749373539,20180420,STARBUCKS,-6.628787879
749373526,20180420,STARBUCKS,-6.628787879
749300024,20180420,BOEING,-6.603773585
749349835,20180420,NETFLIX,-6.603773585
749365268,20180420,BANK OF AMERICA,-6.593406593
749365263,20180420,BANK OF AMERICA,-6.593406593
749443666,20180420,EXXON,-6.564551422
749443667,20180420,EXXON,-6.564551422
749461803,20180420,MOTOROLA,-6.560283688
749386850,20180420,GOOGLE,-6.45994832
749386851,20180420,GOOGLE,-6.45994832
749230903,20180420,STARBUCKS,-6.443914081
749230902,20180420,STARBUCKS,-6.443914081
749230901,20180420,STARBUCKS,-6.443914081
749373544,20180420,GOOGLE,-6.439393939
749463598,20180420,MICROSOFT,-6.424581006
749326751,20180420,BOEING,-6.367041199
749402646,20180420,WELLS FARGO,-6.315789474
